id,province_city,city_mun_brgy,latitude,longitude
300,Sultan Kudarat,Lutayan,6.5594444,124.8586111
301,Sultan Kudarat,Palimbang,6.2108333,124.1891667
302,Sultan Kudarat,President Quirino,6.6983333,124.7402778
303,Sultan Kudarat,Senator Ninoy Aquino(Senator Ninoy Aquino),6.4594444,124.3222222
304,Sultan Kudarat,Tacurong,6.6883333,124.6786111
305,Sulu,Hadji Panglima Tahil(Marunggas),6.0255556,121.8363889
306,Sulu,Indanan,6.1102778,120.9661111
307,Sulu,Jolo,5.9722222,120.9694444
308,Sulu,Kalingalan Caluang,6.0536111,121.0002778
309,Sulu,Lugus,5.8841667,121.2633333
310,Sulu,Luuk,5.7033333,120.8197222
311,Sulu,Maimbung,5.9677778,121.3130556
312,Sulu,Old Panamao,5.9308333,121.0269444
313,Sulu,Omar,5.98,121.2183333
314,Sulu,Pandami,6.01,121.3836111
315,Sulu,Panglima Estino (New Panamao),5.5505556,120.8083333
316,Sulu,Pangutaran,5.9569444,121.1961111
317,Sulu,Parang,6.3,120.5836111
318,Sulu,Pata,5.9127778,120.9052778
319,Sulu,Patikul,5.8411111,121.1819444
320,Sulu,Siasi,6.0886111,121.1069444
321,Sulu,Talipao,5.5433333,120.8147222
322,Sulu,Tapul,5.9752778,121.1080556
323,Sulu,Tongkil (Banguingui),5.705,120.8813889
324,Surigao del Norte,Alegria,9.4683333,125.5766667
325,Surigao del Norte,Bacuag,9.6083333,125.6383333
326,Surigao del Norte,Burgos,10.0180556,126.0741667
327,Surigao del Norte,Claver,9.5730556,125.7325
328,Surigao del Norte,Dapa,9.7569444,126.0513889
329,Surigao del Norte,Del Carmen,9.8686111,125.9705556
330,Surigao del Norte,General Luna,9.7833333,126.1563889
331,Surigao del Norte,Gigaquit,9.5938889,125.6975
332,Surigao del Norte,Mainit,9.5377778,125.5225
333,Surigao del Norte,Malimono,9.6183333,125.4016667
334,Surigao del Norte,Pilar,9.8638889,126.1002778
335,Surigao del Norte,Placer,9.6572222,125.6013889
336,Surigao del Norte,San Benito,9.9577778,126.0066667
337,Surigao del Norte,San Francisco (Anao-Aon),9.7777778,125.4238889
338,Surigao del Norte,San Isidro,9.9363889,126.0869444
339,Surigao del Norte,Santa Monica (Sapao),10.0188889,126.0363889
340,Surigao del Norte,Sison,9.6588889,125.5286111
341,Surigao del Norte,Socorro,9.6183333,125.965
342,Surigao del Norte,Surigao,9.7877778,125.4916667
343,Surigao del Norte,Tagana-an,9.6972222,125.5825
344,Surigao del Norte,Tubod,9.5555556,125.5688889
345,Surigao del Sur,Barobo,8.5363889,126.1205556
346,Surigao del Sur,Bayabas,8.9675,126.2827778
347,Surigao del Sur,Bislig,8.2116667,126.3166667
348,Surigao del Sur,Cagwait,8.9183333,126.3016667
349,Surigao del Sur,Cantilan,9.3347222,125.9758333
350,Surigao del Sur,Carmen,9.2286111,126.0166667
351,Surigao del Sur,Carrascal,9.3683333,125.9486111
352,Surigao del Sur,Cortes,9.2747222,126.1902778
353,Surigao del Sur,Hinatuan,8.3655556,126.3358333
354,Surigao del Sur,Lanuza,9.2336111,126.0602778
355,Surigao del Sur,Lianga,8.6327778,126.0927778
356,Surigao del Sur,Lingig,8.0375,126.4122222
357,Surigao del Sur,Madrid,9.2625,125.9636111
358,Surigao del Sur,Marihatag,8.8005556,126.2986111
359,Surigao del Sur,San Agustin,8.7436111,126.2219444
360,Surigao del Sur,San Miguel,8.9341667,126.0397222
361,Surigao del Sur,Tagbina,8.4572222,126.1588889
362,Surigao del Sur,Tago,9.0194444,126.2330556
363,Surigao del Sur,Tandag,9.0797222,126.1975
364,Tawi Tawi,Bongao,5.1042,119.8121
365,Tawi Tawi,Languyan,5.3764,120.2282
366,Tawi Tawi,Mapun (Cagayan de Tawi-Tawi),6.9765,118.5136
367,Tawi Tawi,Panglima Sugala(Balimbing),5.0948,119.9972
368,Tawi Tawi,Sapa-Sapa,5.0853,120.182
369,Tawi Tawi,Sibutu,4.7814,119.476
370,Tawi Tawi,Simunul,4.8563,119.8237
371,Tawi Tawi,Sitangkai,4.7438,119.4005
372,Tawi Tawi,South Ubian,5.3958,120.3781
373,Tawi Tawi,Tandubas,5.2075,120.2974
374,Tawi Tawi,Turtle Islands,6.0833333,118.3166667
375,Zamboanga del Norte,Bacungan (Leon T. Postigo),7.8105556,122.1452778
376,Zamboanga del Norte,Baliguian,8.6547222,123.4222222
377,Zamboanga del Norte,Dapitan,8.5861111,123.3411111
378,Zamboanga del Norte,Dipolog,7.9983333,122.8416667
379,Zamboanga del Norte,Godod,7.9725,122.3994444
380,Zamboanga del Norte,Gutalac,8.4425,123.0222222
381,Zamboanga del Norte,Jose Dalman (Ponot),7.9047222,122.5263889
382,Zamboanga del Norte,Kalawit,8.5127778,123.2847222
383,Zamboanga del Norte,Katipunan,8.4686111,123.5258333
384,Zamboanga del Norte,Labason,8.0644444,122.5244444
385,Zamboanga del Norte,La Libertad,8.1527778,122.925
386,Zamboanga del Norte,Liloy,8.1233333,122.6791667
387,Zamboanga del Norte,Manukan,8.5158333,123.0938889
388,Zamboanga del Norte,Mutia,8.42,123.4761111
389,Zamboanga del Norte,Piñan (New Piñan),8.4791667,123.4497222
390,Zamboanga del Norte,Polanco,8.5311111,123.3627778
391,Zamboanga del Norte,President Manuel A. Roxas,8.5141667,123.2325
392,Zamboanga del Norte,Rizal,8.5255556,123.5516667
393,Zamboanga del Norte,Salug,8.1069444,122.7569444
394,Zamboanga del Norte,Sergio Osmeña Sr.,8.2991667,123.5083333
395,Zamboanga del Norte,Siayan,8.2513889,123.1133333
396,Zamboanga del Norte,Sibuco,7.2922222,122.0666667
397,Zamboanga del Norte,Sibutad,8.6125,123.48
398,Zamboanga del Norte,Sindangan,8.2341667,122.9991667
399,Zamboanga del Norte,Siocon,7.7066667,122.1394444
400,Zamboanga del Norte,Sirawai,7.5872222,122.14
401,Zamboanga del Norte,Tampilisan,7.9741667,122.6641667
402,Zamboanga del Sur,Aurora,7.9533333,123.5841667
403,Zamboanga del Sur,Bayog,7.8469444,123.0425
404,Zamboanga del Sur,Dimataling,7.53,123.3652778
405,Zamboanga del Sur,Dinas,7.6161111,123.3377778
406,Zamboanga del Sur,Dumalinao,7.8183333,123.3627778
407,Zamboanga del Sur,Dumingag,8.1555556,123.3452778
408,Zamboanga del Sur,Guipos,7.7316667,123.3211111
409,Zamboanga del Sur,Josefina,8.2158333,123.5447222
410,Zamboanga del Sur,Kumalarang,7.7475,123.1458333
411,Zamboanga del Sur,Labangan,7.8638889,123.5130556
412,Zamboanga del Sur,Lakewood,7.8527778,123.1511111
413,Zamboanga del Sur,Lapuyan,7.6319444,123.1916667
414,Zamboanga del Sur,Mahayag,8.1297222,123.4383333
415,Zamboanga del Sur,Margosatubig,7.5752778,123.1658333
